id,party,first_name,surname,region,first_pref,count
148,SF,Darren,O'ROURKE,MEATH EAST,16.4,10
149,FG,John Paul,O'SHEA,CORK NORTH-WEST,17.7,6
150,FF,Pádraig,O'SULLIVAN,CORK NORTH-CENTRAL,13.0,12
151,FF,Christopher,O'SULLIVAN,CORK SOUTH-WEST,19.3,11
152,SD,Liam,QUAIDE,CORK EAST,10.0,12
153,SF,Maurice,QUINLIVAN,LIMERICK CITY,14.1,13
154,SD,Pádraig,RICE,CORK SOUTH-CENTRAL,8.6,18
155,FG,Neale,RICHMOND,DUBLIN RATHDOWN,20.6,1
156,FG,Peter,ROCHE,GALWAY EAST,10.2,11
157,FF,Eamon,SCANLON,SLIGO-LEITRIM,10.4,13
158,Lab,Conor,SHEEHAN,LIMERICK CITY,6.5,15
159,Lab,Marie,SHERLOCK,DUBLIN CENTRAL,7.5,11
160,FF,Brendan,SMITH,CAVAN-MONAGHAN,9.6,14
161,Lab,Duncan,SMITH,DUBLIN FINGAL EAST,14.2,11
162,FF,Niamh,SMYTH,CAVAN-MONAGHAN,8.4,14
163,Ind,Brian,STANLEY,LAOIS,17.7,8
164,SF,Fionntán,Ó SÚILLEABHÁIN,WICKLOW-WEXFORD,20.2,6
165,FG,Edward,TIMMINS,WICKLOW,5.3,13
166,Aon,Peadar,TÓIBÍN,MEATH WEST,20.1,4
167,Ind,Gillian,TOOLE,MEATH EAST,8.9,13
168,FF,Robert,TROY,LONGFORD-WESTMEATH,13.1,15
169,Lab,Mark,WALL,KILDARE SOUTH,15.5,12
170,SF,Mark,WARD,DUBLIN MID-WEST,11.2,9
171,FG,Barry,WARD,DÚN LAOGHAIRE,15.0,7
172,Ind,Charles,WARD,DONEGAL,9.0,16
173,SD,Jennifer,WHITMORE,WICKLOW,5.3,9
